FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE,FLASH_DENSITY,POP_DENSITY
151355,56.7567,-129.7341,2019,7,6,0.01,N,N,0.0081273537229775,288.7253313743379,0.0082002323158574,0.0819773287364746,19.1269457816004,0.3283324572600288,284.1064463593887,0.7036198423523538,81.62118691836054,29.804285360637788,4.473355492469277e-05,1.9913413985031867,0.963836890092598,170.83778888567323,15.608616837261126,0.2748987650100211,,0.0065081812413831,0.0
151356,56.7104,-129.7877,2019,8,7,44.4,N,N,0.0101348583857579,288.5352239694531,0.0009215106102901,0.0388751498326425,22.407878831867187,0.7056045754242214,282.17261113397655,0.7050246641755219,72.27637410253907,26.476088609075195,5.338080615120101e-05,2.748273453034423,0.930722271149704,160.20016912971485,19.22002965819433,0.2744016889034271,,0.0042559368075911,0.0
151357,56.7464,-130.6148,2019,7,8,30.0,N,N,0.0095198356436219,286.7331538639844,0.1109013431683731,0.1301307141378136,23.55603952768555,0.6014993723078207,284.4922577712031,0.7128010704185181,74.44687996578125,25.677449320565422,4.9699934110749525e-05,1.675483832371521,0.960792297948944,153.86624221789845,12.458207582032223,0.2820904331969299,,0.0010062317653829,0.0
151358,56.741,-130.5983,2019,7,8,190.0,N,N,0.0095207025602719,286.732015769336,0.1106606706563115,0.1299624190773653,23.546225975814814,0.6016096060596063,284.49464209094725,0.7124394913352201,74.51639227578129,25.71673632835757,4.9584432595586365e-05,1.6764030036325468,0.9608302652319716,154.01675525558605,12.489362581456929,0.2818379363405322,,0.0014769604957287,0.0
151359,56.7057,-130.7187,2019,7,9,7.0,H,H,0.0087313112666957,284.8076572929668,0.0325086180146732,0.1405734717211283,22.051622803552878,0.5570135768938447,284.62694697226755,0.7167606140227666,73.619009841531,24.87138877290742,5.09489061357605e-05,1.6496417341880698,0.960908027599676,151.17289161234217,12.193097289146884,0.2847654344478991,,0.0040109781559809,0.0
151360,56.6915,-130.7723,2019,7,9,5.0,N,N,0.0087418624449786,284.8494788891504,0.0318518413457768,0.1423130787289919,22.213527362338272,0.5650544611276894,284.69614093311526,0.7187294750286866,73.38731752705198,24.531635571385475,5.163270274461192e-05,1.6432171912526496,0.9610104416125202,150.208653998601,12.131908416216268,0.2861148679239273,,0.0063846178654909,0.0
151361,56.7005,-130.7848,2019,7,9,0.009,N,N,0.0087397084723436,284.85160563381834,0.0318441480724818,0.1418827542408466,22.189793625112905,0.558244699611352,284.6920986286328,0.7190816742109868,73.45552237120606,24.54426435421817,5.172311413386361e-05,1.6516303771178031,0.9610588038467216,150.34223792625494,12.177170181362904,0.2863152372995851,,0.0057075103666313,0.0
151362,56.7611,-130.6122,2019,7,10,0.009,N,N,0.0080680308441715,286.03066421837894,0.0068754523251779,0.074086386486701,18.937177864486703,0.5316489015859801,284.4727828034492,0.7125706655568581,74.67691094787351,25.814842645515977,4.964178582285276e-05,1.687431640692519,0.960828211115486,154.46469297437298,12.552916746505788,0.2819170824747029,,0.0012026032671688,0.0
151363,56.7061,-130.6155,2019,7,12,0.009,N,N,0.0079899363611836,283.270454992417,0.0007412594274865,0.2560576948617838,17.641287578001705,1.56838584050367,284.5438946628955,0.7132734766259383,73.87231976137696,25.33365137053132,4.981237783035261e-05,1.6444846338315016,0.9607112971212196,152.36116648161135,12.221691053092352,0.2824532066094254,,0.005941051092745,0.0
151364,57.0553,-130.5554,2019,8,2,0.009,N,N,0.0070076641087995,282.7824718937168,0.0076726415575569,0.0396027883087597,14.33031790066882,1.1196730902350382,281.84887409658205,0.7083196260817409,71.87223161889746,27.08223456187197,5.916673969144805e-05,2.498341296716006,0.9209043191074104,161.7846041139327,17.970071698487818,0.2781486435820738,,0.0070421724934105,0.0
