FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
146194,56.7062,-120.2058,2014,8,19,0.5,N,N,0.007248735,289.09333666135547,0.007808763,0.060369585,17.369722808295897,0.05899312,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146195,56.7751,-120.588,2014,4,1,0.9,H,H,0.001859608,262.9631457011621,0.000300213,0.00734461,3.765193143072816,0.1545907499105777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146197,57.295,-121.0212,2014,6,27,0.009,N,N,0.007509848,290.14954063408203,0.002204466,0.0172343139914542,15.571197922891232,0.2562392061156928,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146198,57.3105,-120.4275,2014,8,2,7932.0,N,N,0.008904665,291.20769870727537,3.811987144024155e-05,0.00198325,17.966784641860965,0.0169959456966142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146199,57.442,-120.3624,2014,7,23,10.5,N,N,0.00921714,290.7200056,0.005974016,0.0231823801751899,20.41997002658936,0.1420624088452186,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146202,56.501,-120.3927,2014,7,17,0.3,N,N,0.009784884,290.1366124344531,0.067798351,0.092314519,24.56085185207826,0.1016624585699561,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146203,56.5194,-120.3295,2014,8,6,0.009,N,N,0.009628418,292.5053589501758,0.0245661317938453,0.0223808229575843,21.194367234401856,0.1147895910181414,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146209,56.6104,-129.6574,2014,6,12,0.01,H,H,0.004954007,280.91239373489066,0.000664157,0.005345465,7.196017799459475,0.5993356789878951,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146220,56.5217,-121.7772,2014,4,13,2.0,H,H,0.002957744,271.88719265069915,0.000359953,0.002542925,5.091562973200866,0.3101286347682221,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146221,56.5293,-121.8008,2014,4,13,0.3,H,H,0.002953244,271.9468945,0.000361676,0.002482147,5.078194487270388,0.3044024549075427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146222,56.5294,-121.8049,2014,4,30,0.1,H,H,0.005161791,278.43240770914844,0.027077916,0.032869651,16.283871236697625,0.092851718,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146223,56.5383,-121.757,2014,5,2,2.0,H,H,0.003433743,275.64252394953127,0.000765485,0.0226098297228246,6.986465433021698,0.108991892657556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146224,56.5267,-121.7684,2014,5,2,0.1,H,H,0.003439524,275.6812304203281,0.000761661,0.0225169683076047,7.000960134839449,0.1049384116301697,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146225,56.6555,-121.7165,2014,5,2,0.1,H,H,0.003365483,275.2981318587891,0.000825611,0.0236025564819798,6.838933259658046,0.137011043601425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146226,56.5047,-122.0935,2014,5,11,0.6,H,H,0.00376561,280.78178362464354,0.001834784,0.008904177,8.780904587001952,0.1798386378051469,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146227,56.5263,-122.0763,2014,5,15,35.5,H,H,0.004532326,279.3404740156172,0.002067738,0.046807328,12.156210207181116,0.0359403733618619,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146228,56.5147,-122.2372,2014,5,18,0.2,H,H,0.005803682,283.6559311988613,0.007839517,0.04427704,13.359513423524715,0.1789331657227698,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146229,56.5253,-121.7888,2014,5,19,285.0,H,H,0.006562997,284.6049398959414,0.020067612,0.069042667,14.889111321344611,0.1762190750848506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146230,56.5993,-121.465,2014,5,20,0.009,H,H,0.006441268,284.0863659633789,0.036967324,0.054790623,14.259528984460443,0.027027403,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146231,56.6867,-121.7002,2014,6,26,0.009,H,H,0.007209212,288.4176480577617,0.000174796,0.018299087,14.433510217470529,0.0234414238638293,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146232,56.9178,-121.3461,2014,7,8,0.009,H,H,0.009159018,291.70556285268555,0.000987437,0.007346821,18.66486773246508,0.060065987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146233,56.4688,-122.4577,2014,8,5,1.0,N,N,0.009374557,292.98171591785155,0.0191102601986982,0.008431105,21.298155956012693,0.2717869549085848,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146234,56.3537,-121.2292,2014,8,10,10.9,H,H,0.006697572,287.77668101518555,0.0187078002223684,0.012753551,22.86226175963097,0.056625398,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146235,56.6432,-121.1107,2014,8,11,17.0,H,H,0.008056667,290.9396083654219,0.004193094,0.007954807,23.18840730224463,0.0131781045684345,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146236,56.7547,-121.8378,2014,8,6,0.5,H,H,0.008889955,290.7620080873223,0.0119960871682308,0.0221167668198043,19.82922601859692,0.0199165395264312,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146237,57.2709,-121.4808,2014,8,6,0.009,N,N,0.009466097,290.5153628732031,0.0159115807701084,0.051929422,22.33993300066527,0.0257283557333099,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146238,56.5006,-122.1562,2014,8,19,0.9,N,N,0.005984748,287.78705619378906,0.003848197,0.040251591,14.453107816579474,0.0118867911852032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146239,56.8455,-121.5241,2014,8,16,0.009,N,N,0.010174381,293.7943907818994,0.014616648539873,0.0169139235360919,29.190497492948293,0.047961851,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146240,56.5478,-121.8167,2014,8,16,0.3,N,N,0.0100340630873286,294.37813209308393,0.0140170746185494,0.0219028978543744,29.31769193794421,0.086790291,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146241,56.836,-122.207,2014,8,5,0.009,N,N,0.009025403,293.29952737109375,0.01753353,0.005982329,20.90545704802248,0.1650861570425212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146242,56.7349,-121.2544,2014,9,3,0.1,H,H,0.005276694,284.8394710544707,0.002480881,0.0121266988533172,13.67708200602532,0.1944730091044342,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146243,56.5229,-122.0523,2014,10,6,2.0,H,H,0.00545632,281.4781604916953,0.0270863038057766,0.036700002,10.981529833025814,0.009504445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146292,56.0647,-123.6427,2014,7,17,0.009,N,N,0.009198693,288.5183516609688,0.07932332,0.068614401,19.00521615902549,0.3474462942781565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146293,56.1218,-123.6473,2014,7,17,2289.46,N,N,0.009118501,288.3232259,0.077867257,0.067869778,18.81723862297632,0.3297027128959707,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146294,56.0554,-123.6791,2014,7,20,0.1,N,N,0.007649076,283.99170383881443,0.0209043296282956,0.1274294886095203,18.20875786545581,0.2753840140742496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146295,56.0118,-123.5116,2014,7,17,1386.46,N,N,0.009318865,288.6527021356094,0.090007598,0.070687301,19.47027689256884,0.3452202675810266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146296,56.2999,-124.0387,2014,5,16,1688.34,H,H,0.004385908,277.3467728848535,1.1398518597850648e-07,0.000750111,8.487456859614932,0.6040795355152342,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146297,56.3432,-123.4607,2014,7,17,7979.49,N,N,0.008926032,287.4314586397188,0.089593689,0.067714927,18.576086662896955,0.2276670724004539,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
